seed=6100 nit=5000 loss=0.500000025743 max=1 norm=19.65583 status=1
seed=6101 nit=3193 loss=1 max=1 norm=2.149946 status=0
seed=6102 nit=112 loss=0.5 max=1 norm=3.360475 status=0
seed=6103 nit=2620 loss=1.00000000003 max=1 norm=2.82821 status=0
seed=6104 nit=47 loss=0.5 max=1 norm=2.873716 status=0
seed=6105 nit=1450 loss=1 max=1 norm=2.860533 status=0
seed=6106 nit=1959 loss=1.00000000001 max=1 norm=2.804132 status=0
seed=6107 nit=548 loss=0.5 max=1 norm=3.972472 status=0
seed=6108 nit=2844 loss=1 max=1 norm=2.673678 status=0
seed=6109 nit=466 loss=1 max=1 norm=2.532262 status=0
seed=6110 nit=4189 loss=1.00000000001 max=1 norm=3.01489 status=0
seed=6111 nit=752 loss=1 max=1 norm=2.681456 status=0
